feature,importance
role_score,159.11731386184692
assessment,32.94294974207878
cand_years,28.374529123306274
beh_score,19.83814387023449
exp_score,15.79519521445036
must_composite,12.017200469970703
must_exact_cov,6.654399812221527
completeness,3.6316699236631393
saved,3.2423429116606712
recency,3.082583971321583
github_score,3.0547400414943695
search_app,2.2448262460529804
response_rate,1.9849649965763092
n_must_missing,1.8558824360370636
nice_exact_cov,1.5798450261354446
career_score,1.2637200206518173
location_score,0.2687153071165085
nice_composite,0.07467640191316605
n_must_matched,0.0
open_to_work,0.0
